filepath,yhat,label
Background\5B0D7118.WAV,[[1.]],0
Background\601121A6.WAV,[[1.]],0
Background\5B18E92A.WAV,[[1.]],0
Background\5AE46096.WAV,[[1.]],0
Background\5B03CF37.WAV,[[1.]],0
Background\5B0D3ACD.WAV,[[1.]],0
Background\6010DB55.WAV,[[1.]],0
Background\5AE8C6F7.WAV,[[1.]],0
Background\5AD3C24E.WAV,[[1.]],0
Background\5B0940BC.WAV,[[1.]],0
Background\5B0AC2B4.WAV,[[1.]],0
Background\60142CC5.WAV,[[1.]],0
Background\6014E898.WAV,[[1.]],0
Background\5B1032B1.WAV,[[1.]],0
Background\5AEF4453.WAV,[[1.]],0
Background\600FEB24.WAV,[[1.]],0
Background\5AF096E5.WAV,[[1.]],0
Background\5B07D21A.WAV,[[1.]],0
Background\5AE61032.WAV,[[1.]],0
Background\5AF0ACCC.WAV,[[1.]],0
Background\5AFC4EBF.WAV,[[1.]],0
Background\5AED9E58.WAV,[[1.]],0
Background\5AF70FFA.WAV,[[1.]],0
Background\5B18AF11.WAV,[[1.]],0
Background\5AEE3F35.WAV,[[1.]],0
Background\5B105024.WAV,[[1.]],0
Background\600E537B.WAV,[[1.]],0
Background\60199505.WAV,[[1.]],0
Background\60186904.WAV,[[1.]],0
Background\5B1E815E.WAV,[[1.]],0
Background\6021E7CA.WAV,[[1.]],0
Background\5B17EC5D.WAV,[[1.]],0
Background\60104D7E.WAV,[[1.]],0
Background\5B169BE2.WAV,[[1.]],0
Background\5AE54ADB.WAV,[[1.]],0
Background\60208DC1.WAV,[[1.]],0
Background\5AFDE889.WAV,[[1.]],0
Background\60159C6C.WAV,[[1.]],0
Background\6020AF6A.WAV,[[1.]],0
Background\5B02A1C7.WAV,[[1.]],0
Background\5AEB89AD.WAV,[[1.]],0
Background\601FF6B3.WAV,[[1.]],0
Background\6012886F.WAV,[[1.]],0
Background\5AF88451.WAV,[[1.]],0
Background\601794D3.WAV,[[1.]],0
Background\5AC96DFA.WAV,[[1.]],0
Background\5B1BB3E1.WAV,[[1.]],0
Background\5B16951A.WAV,[[1.]],0
Background\5AFC5B68.WAV,[[1.]],0
Background\5B0446D3.WAV,[[1.]],0
Background\5B15FCCC.WAV,[[1.]],0
Background\5ADB48F2.WAV,[[1.]],0
Background\5AE9F158.WAV,[[1.]],0
Background\5AC9FB97.WAV,[[1.]],0
Background\6012AADD.WAV,[[1.]],0
Background\601BF18D.WAV,[[1.]],0
Background\5B17BC63.WAV,[[1.]],0
Background\5B008330.WAV,[[1.]],0
Background\5AE90798.WAV,[[1.]],0
Background\601CA9BB.WAV,[[1.]],0
Background\600F9C2D.WAV,[[1.]],0
Background\5ADD4642.WAV,[[1.]],0
Background\5AEA1A2B.WAV,[[1.]],0
Background\5ACAF55F.WAV,[[1.]],0
Background\5AE10945.WAV,[[1.]],0
Background\601AA42C.WAV,[[1.]],0
Background\601EB887.WAV,[[1.]],0
Background\5B11EF8E.WAV,[[1.]],0
Background\601BEB3C.WAV,[[1.]],0
Background\5B15CC12.WAV,[[1.]],0
Background\6019E9DF.WAV,[[1.]],0
Background\5B113F6C.WAV,[[1.]],0
Background\5AE572DB.WAV,[[1.]],0
Background\6001A433.WAV,[[1.]],0
Background\5AC981AB.WAV,[[1.]],0
Background\601D7E9B.WAV,[[1.]],0
Background\60232E99.WAV,[[1.]],0
Background\5B16C9C9.WAV,[[1.]],0
Background\5AEE4086.WAV,[[1.]],0
Background\5AFF09D6.WAV,[[1.]],0
Background\600C68B3.WAV,[[1.]],0
Background\6012D55B.WAV,[[1.]],0
Background\5B172733.WAV,[[1.]],0
Background\5B0BBAEA.WAV,[[1.]],0
Background\5ADFA53F.WAV,[[1.]],0
Background\5B041229.WAV,[[1.]],0
Background\601C3488.WAV,[[1.]],0
Background\600B83E0.WAV,[[1.]],0
Background\5AE9AC3F.WAV,[[1.]],0
Background\5B17FA69.WAV,[[1.]],0
Background\600FB467.WAV,[[1.]],0
Background\5AF9B9E1.WAV,[[1.]],0
Background\5B07252A.WAV,[[1.]],0
Background\5AEB4752.WAV,[[1.]],0
Background\5AC95C5C.WAV,[[1.]],0
Background\5AFC217C.WAV,[[1.]],0
Background\5AE8919F.WAV,[[1.]],0
Background\600CAC2E.WAV,[[1.]],0
Background\5AF15926.WAV,[[1.]],0
Gunshot\601B00CE.WAV,[[1.]],1
Background\5AFC20A1.WAV,[[1.]],0
Background\60223EBC.WAV,[[1.]],0
Background\5B17C965.WAV,[[1.]],0
Background\60217FAA.WAV,[[1.]],0
Background\5AD73AD7.WAV,[[1.]],0
Background\601496E1.WAV,[[1.]],0
Background\60207589.WAV,[[1.]],0
Background\5AFC218F.WAV,[[1.]],0
Background\5AE6955D.WAV,[[1.]],0
Background\601C0709.WAV,[[1.]],0
Background\6017F17F.WAV,[[1.]],0
Background\5B19A7B8.WAV,[[1.]],0
Background\5AD6225C.WAV,[[1.]],0
Background\5AF8FACF.WAV,[[1.]],0
Background\5AD4FB39.WAV,[[1.]],0
Background\5B163B7D.WAV,[[1.]],0
Background\601329D6.WAV,[[1.]],0
Background\601025AA.WAV,[[1.]],0
Background\5AF5B075.WAV,[[1.]],0
Background\5AD67391.WAV,[[1.]],0
Background\5AD976C7.WAV,[[1.]],0
Background\5B06CC87.WAV,[[1.]],0
Background\5AF75FB1.WAV,[[1.]],0
Background\5AE8924A.WAV,[[1.]],0
Background\5B031310.WAV,[[1.]],0
Background\5B0213FC.WAV,[[1.]],0
Gunshot\5B6659F9_14f4fa2843-c929-4b4b-aaf9-fe113efaf214087fca4e-bcf7-450e-ac7d-fed05c03b0166ba9869c-01fd-47aa-975b-2234f823430f.WAV,[[1.]],1
Background\5AF58472.WAV,[[1.]],0
Background\5AF1FB87.WAV,[[1.]],0
Background\60194265.WAV,[[1.]],0
Gunshot\5B8B4ACE_29604a8f74-9cbc-4303-ae16-f1d59d7c818f83656191-6694-4498-bfd4-08d39c8d5142b757b64d-78b8-4b49-a295-793d5bc1084a.WAV,[[1.]],1
Background\5B05A10C.WAV,[[1.]],0
Background\5AE73399.WAV,[[1.]],0
Background\5AEE09E0.WAV,[[1.]],0
Background\5B00824D.WAV,[[1.]],0
Background\5ACE3BD9.WAV,[[1.]],0
Background\5AF234E4.WAV,[[1.]],0
Background\5B116B74.WAV,[[1.]],0
Background\5AD4C3B2.WAV,[[1.]],0
Background\5B00D960.WAV,[[1.]],0
Background\5AE0C6B4.WAV,[[1.]],0
Background\5ACFCB67.WAV,[[1.]],0
Background\5AFB3292.WAV,[[1.]],0
Background\5AEF1B20.WAV,[[1.]],0
Background\5AFAD791.WAV,[[1.]],0
Background\6010D2EA.WAV,[[1.]],0
Background\5AF49EBC.WAV,[[1.]],0
Background\60233028.WAV,[[1.]],0
Background\60232BF5.WAV,[[1.]],0
Background\5AD3332A.WAV,[[1.]],0
Background\60232F0E.WAV,[[1.]],0
Background\5AD4DCE8.WAV,[[1.]],0
Background\5AD75599.WAV,[[1.]],0
Background\5AFA0157.WAV,[[1.]],0
Background\6016E5B0.WAV,[[1.]],0
Background\60137470.WAV,[[1.]],0
Background\5AD12912.WAV,[[1.]],0
Background\5ADBBE96.WAV,[[1.]],0
Background\5AEC5D39.WAV,[[1.]],0
Background\5AF24FA1.WAV,[[1.]],0
Background\601AD0FF.WAV,[[1.]],0
Background\5B0978D9.WAV,[[1.]],0
Background\5AD515B4.WAV,[[1.]],0
Background\5B0601D6.WAV,[[1.]],0
Background\5AE9AB8D.WAV,[[1.]],0
Background\5B1AD6C7.WAV,[[1.]],0
Background\5ACFA284.WAV,[[1.]],0
Background\5B06E152.WAV,[[1.]],0
Background\5AF22C61.WAV,[[1.]],0
Background\5AF094DF.WAV,[[1.]],0
Background\5B109449.WAV,[[1.]],0
Background\6016FB70.WAV,[[1.]],0
Background\5B187C04.WAV,[[1.]],0
Gunshot\5B5B9CCB_30f359c3c6-9e23-4087-b377-1d4be50b4327b027b099-a6d7-436e-baca-b73e05cb734eb1933d79-bc3e-44c0-9164-da8d51957e90.WAV,[[1.]],1
Background\5ADF4011.WAV,[[1.]],0
Background\5B1CF3AE.WAV,[[1.]],0
Background\60202EA2.WAV,[[1.]],0
Background\601FB436.WAV,[[1.]],0
Background\5AD35958.WAV,[[1.]],0
Background\5ADE1732.WAV,[[1.]],0
Background\5B199DDE.WAV,[[1.]],0
Background\60235169.WAV,[[1.]],0
Background\6021C03B.WAV,[[1.]],0
Background\5AF9E23A.WAV,[[1.]],0
Background\5ADE369A.WAV,[[1.]],0
Background\601B4925.WAV,[[1.]],0
Background\5B1AC81A.WAV,[[1.]],0
Background\5B03AB63.WAV,[[1.]],0
Background\5B167925.WAV,[[1.]],0
Background\60212A5A.WAV,[[1.]],0
Background\601F46B2.WAV,[[1.]],0
Background\5B169785.WAV,[[1.]],0
Background\5AD78CCC.WAV,[[1.]],0
Background\5B007629.WAV,[[1.]],0
Background\5B153EAA.WAV,[[1.]],0
Background\6021F176.WAV,[[1.]],0
Background\6022EDAD.WAV,[[1.]],0
Background\6022C801.WAV,[[1.]],0
Background\601E9969.WAV,[[1.]],0
Background\5ADB99F3.WAV,[[1.]],0
Background\600FB230.WAV,[[1.]],0
Background\5AF6207C.WAV,[[1.]],0
Background\600E1C67.WAV,[[1.]],0
Background\5B0ABA4D.WAV,[[1.]],0
Background\5B06A10B.WAV,[[1.]],0
Background\6021C77B.WAV,[[1.]],0
Background\601416C0.WAV,[[1.]],0
Background\60185701.WAV,[[1.]],0
Background\5B1694F9.WAV,[[1.]],0
Background\601D7ABF.WAV,[[1.]],0
Background\5AFD7910.WAV,[[1.]],0
Background\5AD9E1A8.WAV,[[1.]],0
Background\5AF2B281.WAV,[[1.]],0
Background\600FDBA4.WAV,[[1.]],0
Background\6014739C.WAV,[[1.]],0
Background\5B030F80.WAV,[[1.]],0
Background\6012C215.WAV,[[1.]],0
Background\5AFB6BBC.WAV,[[1.]],0
Background\5ACEB608.WAV,[[1.]],0
Background\601BEB5A.WAV,[[1.]],0
Background\5B025CD8.WAV,[[1.]],0
Background\5B058963.WAV,[[1.]],0
Background\6019BC86.WAV,[[1.]],0
Background\5ADB359F.WAV,[[1.]],0
Background\5AFDA1B3.WAV,[[1.]],0
Background\5B10858C.WAV,[[1.]],0
Background\601C8BCC.WAV,[[1.]],0
Background\60222978.WAV,[[1.]],0
Background\5AC97F49.WAV,[[1.]],0
Background\5AFC76EF.WAV,[[1.]],0
Background\5B1C151F.WAV,[[1.]],0
Background\5ACDA481.WAV,[[1.]],0
Background\5B011F7C.WAV,[[1.]],0
Background\5AD77E48.WAV,[[1.]],0
Background\5AF12FB5.WAV,[[1.]],0
Gunshot\5B88994A_220b568d35-ed49-416a-b7b3-c73fc8b33f21939c6de2-a66a-479a-8254-217956c6ad18c25df37d-1df3-42fb-99f5-e89f2098361f.WAV,[[1.]],1
Background\5AF4D829.WAV,[[1.]],0
Background\5B105FDD.WAV,[[1.]],0
Background\5ACE5ACD.WAV,[[1.]],0
Background\5ADB46B5.WAV,[[1.]],0
Background\600CAA7F.WAV,[[1.]],0
Background\5AC98803.WAV,[[1.]],0
Background\601C399F.WAV,[[1.]],0
Background\5AD0B981.WAV,[[1.]],0
Background\5AE9ACD6.WAV,[[1.]],0
Gunshot\5B792C95_14a90f245-cd8a-46ef-adf0-71fe114fe4e954873d49-aadc-4909-a1fc-cff46036dfe5984e6bb2-1b75-4b07-a4f3-7084069d5f82.WAV,[[1.]],1
Background\5B146FE8.WAV,[[1.]],0
Background\5B1E9951.WAV,[[1.]],0
Background\600F6663.WAV,[[1.]],0
Background\601AD6BD.WAV,[[1.]],0
Background\5AF445F9.WAV,[[1.]],0
Background\5ADBAC47.WAV,[[1.]],0
Background\601D9A39.WAV,[[1.]],0
Background\5AEC7E09.WAV,[[1.]],0
Background\601F05D1.WAV,[[1.]],0
Background\601AEA62.WAV,[[1.]],0
Background\5ACC3AF4.WAV,[[1.]],0
Background\5B0798E5.WAV,[[1.]],0
Background\601E987E.WAV,[[1.]],0
Background\6014868C.WAV,[[1.]],0
Background\601565A8.WAV,[[1.]],0
Background\5B02A1DE.WAV,[[1.]],0
Background\5AF75E14.WAV,[[1.]],0
Background\602129F9.WAV,[[1.]],0
Background\5B1E751C.WAV,[[1.]],0
Background\5B113848.WAV,[[1.]],0
Background\5AF3772F.WAV,[[1.]],0
Background\600A4EF9.WAV,[[1.]],0
Background\5B129B08.WAV,[[1.]],0
Background\5AD411A6.WAV,[[1.]],0
Background\6020AB6A.WAV,[[1.]],0
Background\601DE9B3.WAV,[[1.]],0
Background\5AEBA993.WAV,[[1.]],0
Background\5AE79762.WAV,[[1.]],0
Background\5AED9AE4.WAV,[[1.]],0
Background\5AF36065.WAV,[[1.]],0
Background\5AD5001A.WAV,[[1.]],0
Background\5B12A30E.WAV,[[1.]],0
Background\5AF4B232.WAV,[[1.]],0
Background\5B0F02F4.WAV,[[1.]],0
Background\5B1C0802.WAV,[[1.]],0
Background\602015AB.WAV,[[1.]],0
Background\5ACFCD9E.WAV,[[1.]],0
Background\6022C8AA.WAV,[[1.]],0
Background\5AD5F155.WAV,[[1.]],0
Background\5AF4946F.WAV,[[1.]],0
Background\5B1294B5.WAV,[[1.]],0
Background\5AFD1A99.WAV,[[1.]],0
Background\5B0AC42B.WAV,[[1.]],0
Background\60113A28.WAV,[[1.]],0
Background\5B082C46.WAV,[[1.]],0
Background\6016D4C3.WAV,[[1.]],0
Background\5ACAA7B3.WAV,[[1.]],0
Background\5B15BD69.WAV,[[1.]],0
Background\5ACA0549.WAV,[[1.]],0
Background\600F78D7.WAV,[[1.]],0
Background\5AD39E27.WAV,[[1.]],0
Background\5B1E8128.WAV,[[1.]],0
Gunshot\5B8B3B2F_27454d2afe-ac5e-4ec3-8293-75cf0149d8b4d3d7a58e-27ba-4f40-a2dc-eb36bbad107d1362bbd7-e086-4324-b108-1f7598322aab.WAV,[[1.]],1
Background\5AEDE4AC.WAV,[[1.]],0
Background\5AD69150.WAV,[[1.]],0
Background\5B168B9B.WAV,[[1.]],0
Background\601A7DEE.WAV,[[1.]],0
Background\6015B05C.WAV,[[1.]],0
Background\5B0E8AC3.WAV,[[1.]],0
Background\5AC9B086.WAV,[[1.]],0
Background\5ADF78CD.WAV,[[1.]],0
Background\5AEF4417.WAV,[[1.]],0
Background\5AE0C8F7.WAV,[[1.]],0
Gunshot\58FBBCC092bcdf2a-27fa-4446-9067-0a957ed49380.WAV,[[1.]],1
Background\5ADA8B2B.WAV,[[1.]],0
Background\5AEA5224.WAV,[[1.]],0
Background\60194E0B.WAV,[[1.]],0
Background\600F1E18.WAV,[[1.]],0
Background\601C62F1.WAV,[[1.]],0
Background\5AFF16CE.WAV,[[1.]],0
Background\5B0A3E64.WAV,[[1.]],0
Background\5AE9ACD3.WAV,[[1.]],0
Background\5B1ACFAC.WAV,[[1.]],0
Background\6014209B.WAV,[[1.]],0
Background\600AF713.WAV,[[1.]],0
Background\5AF2485A.WAV,[[1.]],0
Background\6012C311.WAV,[[1.]],0
Background\5AE705DE.WAV,[[1.]],0
Background\601C28A0.WAV,[[1.]],0
Background\5B0FE5AD.WAV,[[1.]],0
Background\601EB76C.WAV,[[1.]],0
Background\5ACEC037.WAV,[[1.]],0
Background\5B1BD2E8.WAV,[[1.]],0
Background\5B19AB1D.WAV,[[1.]],0
Background\5B1192CA.WAV,[[1.]],0
Background\5AE3BD7E.WAV,[[1.]],0
Background\5B128B45.WAV,[[1.]],0
Gunshot\58FBC5AFd1340fdd-ae91-41f8-b3d7-93e24d38a357.WAV,[[1.]],1
Background\5AD944B2.WAV,[[1.]],0
Background\601B24F5.WAV,[[1.]],0
Background\5B181B9C.WAV,[[1.]],0
Background\5AE94718.WAV,[[1.]],0
Background\601B1513.WAV,[[1.]],0
Background\5AECBCE5.WAV,[[1.]],0
Background\5B05A07C.WAV,[[1.]],0
Background\5AF5B062.WAV,[[1.]],0
Background\600FB0B9.WAV,[[1.]],0
Background\5B118A84.WAV,[[1.]],0
Background\60205573.WAV,[[1.]],0
Background\5B1B7E2A.WAV,[[1.]],0
Background\60147F83.WAV,[[1.]],0
Background\601945B6.WAV,[[1.]],0
Background\601EB9FE.WAV,[[1.]],0
Background\5B04125C.WAV,[[1.]],0
Background\5AEE402C.WAV,[[1.]],0
Background\60233163.WAV,[[1.]],0
Background\601085F0.WAV,[[1.]],0
Background\5AFDE6CC.WAV,[[1.]],0
Background\5ACCA39D.WAV,[[1.]],0
Background\5AD3C038.WAV,[[1.]],0
Background\5B0A9027.WAV,[[1.]],0
Background\5ACD1C1A.WAV,[[1.]],0
Background\5AF1597C.WAV,[[1.]],0
Background\5AF595D7.WAV,[[1.]],0
Background\6015B8AC.WAV,[[1.]],0
Background\5ADB8E2F.WAV,[[1.]],0
Background\5ADF3B18.WAV,[[1.]],0
Background\5AE8BD8C.WAV,[[1.]],0
Background\5B12F02E.WAV,[[1.]],0
Background\5B1699AE.WAV,[[1.]],0
Background\5AF748AB.WAV,[[1.]],0
Background\5B040F51.WAV,[[1.]],0
Background\5B00BC1F.WAV,[[1.]],0
Gunshot\5B5E6B3D_221f6fadc-0004-457e-9c91-ff5cbaaaafc97b98baa1-b963-467f-9b28-3212b24857e9cb50d1c8-add0-4095-9ab9-ecadf30b0245.WAV,[[1.]],1
Background\600D12E3.WAV,[[1.]],0
Background\5B030EB7.WAV,[[1.]],0
Background\5B06FF81.WAV,[[1.]],0
Background\5ADD0C47.WAV,[[1.]],0
Background\5ADA9B59.WAV,[[1.]],0
Background\5ACF68C8.WAV,[[1.]],0
Background\5AC97F4D.WAV,[[1.]],0
Background\5AC994EF.WAV,[[1.]],0
Background\5B0858C6.WAV,[[1.]],0
Background\5AD48921.WAV,[[1.]],0
Background\5ADE2655.WAV,[[1.]],0
Background\5AEF3753.WAV,[[1.]],0
Background\600DFF55.WAV,[[1.]],0
Background\6010D993.WAV,[[1.]],0
Background\60222710.WAV,[[1.]],0
Background\600D0946.WAV,[[1.]],0
Background\5AEF4843.WAV,[[1.]],0
Background\5AC9FDF2.WAV,[[1.]],0
Background\5ADFEBEE.WAV,[[1.]],0
Background\5B0A9B63.WAV,[[1.]],0
Background\5AF2EE09.WAV,[[1.]],0
Background\5AD453C8.WAV,[[1.]],0
Background\6021EDF7.WAV,[[1.]],0
Background\601B4199.WAV,[[1.]],0
Background\5B103DF5.WAV,[[1.]],0
Background\5AF09DC4.WAV,[[1.]],0
Background\6018480D.WAV,[[1.]],0
Background\5ACEBF74.WAV,[[1.]],0
Background\5B0847B3.WAV,[[1.]],0
Background\5B1696DF.WAV,[[1.]],0
Background\5AFA0508.WAV,[[1.]],0
Background\5AFB254B.WAV,[[1.]],0
Background\601D8D9F.WAV,[[1.]],0
Background\60213191.WAV,[[1.]],0
Background\5AFF3120.WAV,[[1.]],0
Background\5AC9B310.WAV,[[1.]],0
Background\5B1694F6.WAV,[[1.]],0
Background\5ACF2FDC.WAV,[[1.]],0
Background\5B1A9A47.WAV,[[1.]],0
Background\5AE9AECE.WAV,[[1.]],0
Background\5AC9BA50.WAV,[[1.]],0
Background\5B1AA028.WAV,[[1.]],0
Background\602182CA.WAV,[[1.]],0
Background\5B083A11.WAV,[[1.]],0
Background\60236847.WAV,[[1.]],0
Background\5AD4FD1E.WAV,[[1.]],0
Background\5AEC89A3.WAV,[[1.]],0
Background\600BBDB6.WAV,[[1.]],0
Background\60166710.WAV,[[1.]],0
Background\601450E0.WAV,[[1.]],0
Background\5AED9A81.WAV,[[1.]],0
Background\6010FB4F.WAV,[[1.]],0
Background\5B0F40A2.WAV,[[1.]],0
Background\601988B4.WAV,[[1.]],0
Background\5AE874DC.WAV,[[1.]],0
Background\5B17EC65.WAV,[[1.]],0
Background\5B02F345.WAV,[[1.]],0
Background\5AE8C6DC.WAV,[[1.]],0
Background\5AD2709A.WAV,[[1.]],0
Background\5AC9FFFA.WAV,[[1.]],0
Background\5AF58AE3.WAV,[[1.]],0
Background\5AEB2FB0.WAV,[[1.]],0
Background\5AED3C0B.WAV,[[1.]],0
Background\600B491F.WAV,[[1.]],0
Background\5B1DB325.WAV,[[1.]],0
Background\5B1AB456.WAV,[[1.]],0
Background\5B0F4094.WAV,[[1.]],0
Background\5AEE1135.WAV,[[1.]],0
Background\601C24DC.WAV,[[1.]],0
Background\600FD386.WAV,[[1.]],0
Background\5ADCC7FA.WAV,[[1.]],0
Background\5AD75582.WAV,[[1.]],0
Background\60103E9C.WAV,[[1.]],0
Background\600FF645.WAV,[[1.]],0
Background\5AF89A92.WAV,[[1.]],0
Background\5AD09CFF.WAV,[[1.]],0
Background\60128F37.WAV,[[1.]],0
Background\5AEC7A5B.WAV,[[1.]],0
Background\5AEFDADB.WAV,[[1.]],0
Background\5B14A836.WAV,[[1.]],0
Gunshot\58FBD380722c2dbc-8269-44d2-a4d3-2bd3c96e1ea3.WAV,[[1.]],1
Background\5B155D11.WAV,[[1.]],0
Background\601EE4AB.WAV,[[1.]],0
Background\5B07D15F.WAV,[[1.]],0
Background\5B04E817.WAV,[[1.]],0
Gunshot\58FBD3C0364e7ecc-9553-48c3-913b-ff8969f8e2ef.WAV,[[1.]],1
Background\5AED89E8.WAV,[[1.]],0
Background\5AEE3EFA.WAV,[[1.]],0
Background\601D5F5E.WAV,[[1.]],0
Background\601E8C63.WAV,[[1.]],0
Background\601EB5BA.WAV,[[1.]],0
Background\5B181999.WAV,[[1.]],0
Background\5B01BADE.WAV,[[1.]],0
Background\5B043916.WAV,[[1.]],0
Background\5AD3839B.WAV,[[1.]],0
Background\5AFC3FC8.WAV,[[1.]],0
Background\5B1E9354.WAV,[[1.]],0
Background\5AFF5000.WAV,[[1.]],0
Background\600EEE61.WAV,[[1.]],0
Background\5AECB1EF.WAV,[[1.]],0
Background\6012B418.WAV,[[1.]],0
Background\5B031745.WAV,[[1.]],0
Background\5AD78C21.WAV,[[1.]],0
Background\5B0AC86B.WAV,[[1.]],0
Background\60175AED.WAV,[[1.]],0
Background\5B17E1E0.WAV,[[1.]],0
Background\5AF7F10B.WAV,[[1.]],0
Background\5AD7762B.WAV,[[1.]],0
Background\5AC9577E.WAV,[[1.]],0
Background\5AD242C5.WAV,[[1.]],0
Background\6012A760.WAV,[[1.]],0
Background\5AE06E2C.WAV,[[1.]],0
Background\5B024AB9.WAV,[[1.]],0
Background\5AE8763A.WAV,[[1.]],0
Background\5B07687F.WAV,[[1.]],0
Background\601565B9.WAV,[[1.]],0
Background\5B153F04.WAV,[[1.]],0
Background\5AEE4038.WAV,[[1.]],0
Background\601F3C3A.WAV,[[1.]],0
Background\5AE88F9B.WAV,[[1.]],0
Background\6015548F.WAV,[[1.]],0
Background\5B17E19F.WAV,[[1.]],0
Background\6014649A.WAV,[[1.]],0
Background\5AE5BD04.WAV,[[1.]],0
Background\6022624B.WAV,[[1.]],0
Background\600D9045.WAV,[[1.]],0
Background\5B1BEC3A.WAV,[[1.]],0
Background\5B045072.WAV,[[1.]],0
Background\5AF359B4.WAV,[[1.]],0
Gunshot\58FBC58185413642-6f9f-480f-967a-9f8a204d3e0a.WAV,[[1.]],1
Background\5B0ABD81.WAV,[[1.]],0
Background\5B0312A2.WAV,[[1.]],0
Background\60223368.WAV,[[1.]],0
Background\60198677.WAV,[[1.]],0
Background\5AF0369F.WAV,[[1.]],0
Background\6010B527.WAV,[[1.]],0
Background\5B16C908.WAV,[[1.]],0
Background\5AD16818.WAV,[[1.]],0
Background\6014807A.WAV,[[1.]],0
Background\6018466B.WAV,[[1.]],0
Background\60165D76.WAV,[[1.]],0
Background\6021275C.WAV,[[1.]],0
Background\5AEA77A0.WAV,[[1.]],0
Background\5B19817F.WAV,[[1.]],0
Background\601ECD17.WAV,[[1.]],0
Background\5AD4F8B1.WAV,[[1.]],0
Background\601F5EDE.WAV,[[1.]],0
Background\5AF5ABD4.WAV,[[1.]],0
Background\5B01D219.WAV,[[1.]],0
Background\601803A6.WAV,[[1.]],0
Background\6016D738.WAV,[[1.]],0
Background\5AD1E9C4.WAV,[[1.]],0
Background\60213EBE.WAV,[[1.]],0
Background\5AE5DF77.WAV,[[1.]],0
Background\602158F0.WAV,[[1.]],0
Background\5B016853.WAV,[[1.]],0
Background\5AE5D024.WAV,[[1.]],0
Background\601F9FD8.WAV,[[1.]],0
